,label,predicted_label,label_prob,model correct,model_file,model_hash
0,0,0,0.8713173,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
1,0,0,0.9648893,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
2,0,0,0.9835796,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
3,0,0,0.9446777,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
4,0,0,0.99800354,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
5,0,0,0.94969517,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
6,0,0,0.8403804,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
7,0,0,0.9921676,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
8,0,0,0.8902509,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
9,0,0,0.96691406,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
10,1,1,0.86388636,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
11,1,1,0.96859837,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
12,1,1,0.9955183,True,oxford_flower_model_v6.testing.keras,e1abe1418d7d1e604ed5d23435bb54563ced021ce8d4acb0da1638034bbbb08c
