,label,prediced_label,model correct
0,0,0,True
1,0,0,True
2,0,0,True
3,0,53,False
4,0,0,True
5,0,0,True
6,0,0,True
7,0,0,True
8,0,0,True
9,0,0,True
10,0,0,True
11,0,65,False
12,0,0,True
13,0,0,True
14,0,0,True
15,0,0,True
16,0,0,True
17,0,0,True
18,0,30,False
19,0,0,True
20,1,1,True
21,1,1,True
22,1,1,True
23,1,1,True
24,1,1,True
25,1,1,True
26,1,1,True
27,1,1,True
28,1,1,True
29,1,1,True
30,1,1,True
31,1,1,True
32,1,1,True
33,1,1,True
34,1,1,True
35,1,1,True
36,1,1,True
37,1,1,True
38,1,1,True
39,1,57,False
40,1,1,True
41,1,1,True
42,1,1,True
43,2,2,True
44,2,2,True
45,2,2,True
46,2,2,True
47,2,2,True
48,2,2,True
49,2,2,True
50,2,2,True
51,2,2,True
52,2,2,True
53,2,2,True
54,2,2,True
55,2,2,True
56,2,2,True
57,2,2,True
58,2,2,True
59,2,59,False
60,2,2,True
61,2,2,True
62,2,2,True
63,2,2,True
64,2,33,False
65,2,33,False
66,2,2,True
67,2,2,True
68,2,33,False
69,2,2,True
70,2,2,True
71,2,2,True
72,2,2,True
73,2,2,True
74,2,33,False
75,2,2,True
76,2,2,True
77,2,2,True
78,2,2,True
79,2,2,True
80,2,2,True
81,2,2,True
82,2,2,True
83,2,2,True
84,2,2,True
85,2,89,False
86,2,2,True
87,2,2,True
88,2,2,True
89,2,2,True
90,2,2,True
91,2,2,True
92,2,2,True
93,2,2,True
94,2,2,True
95,2,2,True
96,2,2,True
97,2,2,True
98,2,2,True
99,2,2,True
100,2,2,True
101,2,2,True
102,2,2,True
103,2,2,True
104,2,2,True
105,2,2,True
106,2,95,False
107,2,2,True
108,2,2,True
109,2,2,True
110,2,2,True
111,2,2,True
112,2,2,True
113,2,33,False
114,2,2,True
115,2,2,True
116,2,59,False
117,2,2,True
118,2,2,True
119,2,2,True
120,2,2,True
121,2,2,True
122,2,2,True
123,2,95,False
124,2,2,True
125,2,2,True
126,2,33,False
127,2,2,True
128,3,3,True
129,3,3,True
130,3,3,True
131,3,3,True
132,3,54,False
133,3,82,False
134,3,3,True
135,3,82,False
136,3,3,True
137,3,3,True
138,3,3,True
139,3,3,True
140,3,3,True
141,3,3,True
142,3,3,True
143,3,3,True
144,3,3,True
145,3,3,True
146,3,3,True
147,3,3,True
148,3,3,True
149,3,3,True
150,3,3,True
151,3,3,True
152,3,3,True
153,3,3,True
154,3,3,True
155,3,3,True
156,3,3,True
157,3,3,True
158,3,3,True
159,3,3,True
160,3,3,True
161,3,3,True
162,3,3,True
163,3,3,True
164,3,3,True
165,3,3,True
166,3,3,True
167,3,3,True
168,3,3,True
169,3,3,True
170,3,3,True
171,3,3,True
172,3,3,True
173,3,82,False
174,3,3,True
175,3,3,True
176,3,41,False
177,3,67,False
178,3,3,True
179,3,3,True
180,3,3,True
181,3,3,True
182,3,3,True
183,3,3,True
184,3,3,True
185,3,3,True
186,4,4,True
187,4,4,True
188,4,4,True
189,4,4,True
190,4,4,True
191,4,4,True
192,4,4,True
193,4,4,True
194,4,4,True
195,4,4,True
196,4,4,True
197,4,4,True
198,4,4,True
199,4,4,True
200,4,4,True
201,4,4,True
202,4,4,True
203,4,4,True
204,4,4,True
205,4,4,True
206,4,4,True
207,4,4,True
208,4,4,True
209,4,4,True
210,4,4,True
211,4,63,False
212,4,4,True
213,4,4,True
214,4,4,True
215,4,4,True
216,4,4,True
217,4,4,True
218,4,4,True
219,4,4,True
220,4,4,True
221,4,4,True
222,5,70,False
223,5,61,False
224,5,22,False
225,5,5,True
226,5,5,True
227,5,5,True
228,5,5,True
229,5,5,True
230,5,21,False
231,5,5,True
232,5,22,False
233,5,5,True
234,5,5,True
235,5,42,False
236,5,5,True
237,5,5,True
238,5,88,False
239,5,36,False
240,5,5,True
241,5,5,True
242,5,70,False
243,5,5,True
244,5,5,True
245,5,5,True
246,5,5,True
247,5,81,False
248,5,81,False
249,5,59,False
250,5,5,True
251,5,5,True
252,5,88,False
253,5,5,True
254,5,5,True
255,5,5,True
256,5,5,True
257,5,5,True
258,5,5,True
259,5,5,True
260,5,42,False
261,5,5,True
262,5,5,True
263,5,9,False
264,5,5,True
265,5,5,True
266,5,5,True
267,5,5,True
268,5,25,False
269,5,5,True
270,5,5,True
271,5,69,False
272,5,42,False
273,5,25,False
274,5,42,False
275,5,5,True
276,5,5,True
277,5,5,True
278,5,39,False
279,5,5,True
280,5,5,True
281,5,79,False
282,5,5,True
283,5,69,False
284,5,5,True
285,5,28,False
286,5,5,True
287,5,86,False
288,5,5,True
289,5,5,True
290,5,5,True
291,5,5,True
292,5,62,False
293,5,75,False
294,5,5,True
295,5,81,False
296,5,5,True
297,5,5,True
298,6,6,True
299,6,6,True
300,6,6,True
301,6,6,True
302,6,6,True
303,6,6,True
304,6,6,True
305,6,6,True
306,6,33,False
307,6,6,True
308,6,33,False
309,6,6,True
310,6,6,True
311,6,6,True
312,6,6,True
313,6,6,True
314,6,6,True
315,6,6,True
316,6,6,True
317,6,6,True
318,6,6,True
319,6,6,True
320,6,6,True
321,6,39,False
322,6,6,True
323,6,6,True
324,7,7,True
325,7,83,False
326,7,7,True
327,7,7,True
328,7,23,False
329,7,7,True
330,7,30,False
331,7,7,True
332,7,58,False
333,7,7,True
334,7,83,False
335,7,84,False
336,7,7,True
337,7,33,False
338,7,7,True
339,7,7,True
340,7,30,False
341,7,7,True
342,7,84,False
343,7,7,True
344,7,84,False
345,7,7,True
346,7,62,False
347,7,7,True
348,7,84,False
349,7,7,True
350,7,83,False
351,7,7,True
352,7,7,True
353,8,12,False
354,8,8,True
355,8,8,True
356,8,8,True
357,8,8,True
358,8,8,True
359,8,8,True
360,8,8,True
361,8,37,False
362,8,8,True
363,8,8,True
364,8,37,False
365,8,8,True
366,8,12,False
367,8,8,True
368,8,8,True
369,8,44,False
370,8,31,False
371,8,85,False
372,8,8,True
373,8,8,True
374,8,66,False
375,8,8,True
376,8,8,True
377,8,8,True
378,8,8,True
379,8,8,True
380,8,8,True
381,8,8,True
382,8,8,True
383,8,8,True
384,8,8,True
385,8,8,True
386,8,8,True
387,8,66,False
388,8,8,True
389,8,8,True
390,8,8,True
391,8,8,True
392,8,8,True
393,8,8,True
394,8,8,True
395,8,8,True
396,8,77,False
397,8,8,True
398,8,8,True
399,8,8,True
400,8,8,True
401,8,8,True
402,8,37,False
403,8,8,True
404,8,8,True
405,8,8,True
406,8,8,True
407,8,8,True
408,8,8,True
409,8,85,False
410,8,8,True
411,8,8,True
412,8,8,True
413,8,8,True
414,8,8,True
415,8,8,True
416,8,8,True
417,8,37,False
418,8,8,True
419,8,8,True
420,8,37,False
421,8,8,True
422,8,8,True
423,8,8,True
424,8,8,True
425,8,12,False
426,8,8,True
427,8,8,True
428,8,8,True
429,8,8,True
430,8,25,False
431,8,8,True
432,8,8,True
433,8,8,True
434,8,8,True
435,8,65,False
436,8,8,True
437,8,8,True
438,8,8,True
439,8,8,True
440,8,8,True
441,8,37,False
442,8,8,True
443,8,8,True
444,8,8,True
445,8,8,True
446,8,8,True
447,8,8,True
448,8,8,True
449,8,8,True
450,8,8,True
451,8,97,False
452,8,8,True
453,8,8,True
454,8,8,True
455,8,8,True
456,8,37,False
457,8,8,True
458,8,12,False
459,8,87,False
460,9,62,False
461,9,9,True
462,9,9,True
463,9,23,False
464,9,9,True
465,9,9,True
466,9,9,True
467,9,9,True
468,9,9,True
469,9,9,True
470,9,9,True
471,9,9,True
472,9,9,True
473,9,81,False
474,9,9,True
475,9,9,True
476,9,9,True
477,9,9,True
478,9,9,True
479,9,9,True
480,9,23,False
481,9,9,True
482,9,9,True
483,9,9,True
484,9,23,False
485,9,23,False
486,9,9,True
487,9,9,True
488,9,62,False
489,9,9,True
490,9,9,True
491,9,46,False
492,9,9,True
493,9,62,False
494,10,10,True
495,10,23,False
496,10,49,False
497,10,10,True
498,10,10,True
499,10,10,True
500,10,10,True
501,10,10,True
502,10,10,True
503,10,10,True
504,10,10,True
505,10,49,False
506,10,10,True
507,10,10,True
508,10,10,True
509,10,10,True
510,10,10,True
511,10,10,True
512,10,10,True
513,10,10,True
514,10,10,True
515,10,10,True
516,10,10,True
517,10,10,True
518,10,10,True
519,10,10,True
520,10,10,True
521,10,10,True
522,10,10,True
523,10,10,True
524,10,10,True
525,10,49,False
526,10,10,True
527,10,10,True
528,10,10,True
529,10,10,True
530,10,10,True
531,10,10,True
532,10,10,True
533,10,10,True
534,10,10,True
535,10,10,True
536,10,10,True
537,10,10,True
538,10,10,True
539,10,10,True
540,11,11,True
541,11,11,True
542,11,11,True
543,11,11,True
544,11,11,True
545,11,11,True
546,11,11,True
547,11,11,True
548,11,11,True
549,11,11,True
550,11,11,True
551,11,11,True
552,11,11,True
553,11,11,True
554,11,11,True
555,11,11,True
556,11,11,True
557,11,11,True
558,11,11,True
559,11,11,True
560,11,11,True
561,11,11,True
562,11,11,True
563,11,11,True
564,11,11,True
565,11,11,True
566,11,11,True
567,11,11,True
568,11,11,True
569,11,11,True
570,11,11,True
571,11,11,True
572,11,11,True
573,11,11,True
574,11,11,True
575,11,11,True
576,11,11,True
577,11,11,True
578,11,11,True
579,11,11,True
580,11,11,True
581,11,11,True
582,11,11,True
583,11,11,True
584,11,11,True
585,11,11,True
